,artist,song
0,Taylor Swift,Look What You Made Me Do
1,Cardi B,Bodak Yellow (Money Moves)
2,Luis Fonsi & Daddy Yankee Featuring Justin Bieber,Despacito
3,Taylor Swift,...Ready For It?
4,Logic Featuring Alessia Cara & Khalid,1-800-273-8255
5,DJ Khaled Featuring Rihanna & Bryson Tiller,Wild Thoughts
6,Charlie Puth,Attention
7,Imagine Dragons,Believer
8,French Montana Featuring Swae Lee,Unforgettable
9,Shawn Mendes,There's Nothing Holdin' Me Back
10,Yo Gotti Featuring Nicki Minaj,Rake It Up
11,21 Savage,Bank Account
12,Demi Lovato,Sorry Not Sorry
13,Liam Payne Featuring Quavo,Strip That Down
14,Niall Horan,Slow Hands
15,Ed Sheeran,Shape Of You
16,Bruno Mars,That's What I Like
17,Portugal. The Man,Feel It Still
18,Lil Uzi Vert,XO TOUR Llif3
19,Sam Hunt,Body Like A Back Road
20,Kendrick Lamar,Humble.
21,J Balvin & Willy William Featuring Beyonce,Mi Gente
22,"Calvin Harris Featuring Pharrell Williams, Katy Perry & Big Sean",Feels
23,Post Malone Featuring Quavo,Congratulations
24,The Chainsmokers & Coldplay,Something Just Like This
25,Kesha,Praying
26,Maroon 5 Featuring SZA,What Lovers Do
27,Childish Gambino,Redbone
28,"DJ Khaled Featuring Justin Bieber, Quavo, Chance The Rapper & Lil Wayne",I'm The One
29,Khalid,Location
30,Gucci Mane Featuring Migos,I Get The Bag
31,P!nk,What About Us
32,Khalid,Young Dumb & Broke
33,Zedd & Alessia Cara,Stay
34,Justin Bieber + BloodPop,Friends
35,Kendrick Lamar Featuring Rihanna,Loyalty.
36,SZA Featuring Travis Scott,Love Galore
37,XXXTENTACION,Jocelyn Flores
38,James Arthur,Say You Won't Let Go
39,Kane Brown Featuring Lauren Alaina,What Ifs
40,Dustin Lynch,Small Town Boy
41,Cheat Codes Featuring Demi Lovato,No Promises
42,Future,Mask Off
43,Tay-K,The Race
44,Imagine Dragons,Thunder
45,Kodak Black,Transportin'
46,Lil Uzi Vert Featuring Nicki Minaj,The Way Life Goes
47,Luke Combs,When It Rains It Pours
48,XXXTENTACION Featuring Trippie Redd,F**k Love
49,blackbear,Do Re Mi
50,"2 Chainz Featuring Ty Dolla $ign, Trey Songz & Jhene Aiko",It's A Vibe
51,GoldLink Featuring Brent Faiyaz & Shy Glizzy,Crew
52,Kodak Black Featuring XXXTENTACION,Roll In Peace
53,Marshmello Featuring Khalid,Silence
54,Katy Perry Featuring Nicki Minaj,Swish Swish
55,Jon Pardi,Heartache On The Dance Floor
56,Lil Uzi Vert,Sauce It Up
57,Travis Scott,Butterfly Effect
58,Old Dominion,No Such Thing As A Broken Heart
59,Playboi Carti,Magnolia
60,SZA,The Weekend
61,Dua Lipa,New Rules
62,Thomas Rhett,Unforgettable
63,Louis Tomlinson Featuring Bebe Rexha & Digital Farm Animals,Back To You
64,Selena Gomez Featuring Gucci Mane,Fetish
65,Maluma,Felices Los 4
